,Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission
0,2.0,1,2.0,2.0,3.0,1.0,0.0,2.0,230,2.0,210,2.0,4,7,26,1,2.0,3,2,2238
1,3.0,1,1.0,0.0,2.0,0.0,0.0,2.0,114,1.0,9,3.0,3,9,38,5,2.0,3,2,1892
2,2.0,0,3.0,1.0,1.0,2.0,4.0,0.0,138,0.0,2472,0.0,1,14,47,6,1.0,3,2,2595
3,2.0,0,3.0,3.0,1.0,0.0,0.0,1.0,157,1.0,74,1.0,3,20,5,7,1.0,0,3,1074
4,3.0,1,1.0,2.0,3.0,2.0,5.0,2.0,266,3.0,8457,2.0,1,3,5,6,0.0,3,1,4743
5,2.0,0,1.0,0.0,1.0,1.0,0.0,1.0,144,2.0,658,2.0,1,22,18,9,1.0,1,3,1647
6,0.0,1,0.0,0.0,1.0,2.0,2.0,0.0,56,1.0,5363,1.0,4,9,11,19,1.0,4,2,1832
7,0.0,1,0.0,1.0,3.0,0.0,0.0,1.0,59,3.0,54,3.0,3,5,39,15,2.0,1,2,2322
8,2.0,0,3.0,2.0,1.0,1.0,0.0,0.0,200,2.0,1376,1.0,3,3,31,15,0.0,3,3,2494
9,0.0,1,2.0,2.0,1.0,1.0,0.0,2.0,135,1.0,440,3.0,1,8,23,18,1.0,3,3,1178
10,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,146,0.0,1561,3.0,4,12,27,21,2.0,2,2,1427
11,3.0,0,1.0,1.0,3.0,0.0,0.0,0.0,111,3.0,69,1.0,5,9,4,4,1.0,4,3,3226
12,0.0,1,3.0,3.0,3.0,0.0,0.0,2.0,114,1.0,92,2.0,3,18,27,4,0.0,3,1,1593
13,0.0,1,0.0,0.0,0.0,2.0,3.0,1.0,111,1.0,2893,2.0,6,13,16,10,1.0,1,5,1732
14,3.0,0,2.0,0.0,2.0,1.0,0.0,2.0,123,1.0,1989,0.0,6,13,23,8,2.0,1,2,1743
15,2.0,1,1.0,0.0,0.0,1.0,0.0,0.0,225,3.0,692,0.0,6,9,24,15,2.0,0,2,2101
16,1.0,0,2.0,1.0,0.0,0.0,0.0,2.0,219,2.0,7,3.0,4,23,42,14,1.0,4,4,2609
17,2.0,1,2.0,2.0,1.0,1.0,0.0,2.0,104,1.0,948,2.0,6,1,6,22,0.0,3,3,1565
18,0.0,0,0.0,1.0,0.0,2.0,4.0,2.0,126,3.0,7622,1.0,2,6,37,9,1.0,4,1,5272
19,1.0,1,3.0,1.0,1.0,0.0,0.0,2.0,288,0.0,51,0.0,4,15,22,6,2.0,1,2,1220
20,1.0,0,0.0,3.0,0.0,2.0,1.0,2.0,282,1.0,2237,2.0,6,0,8,5,2.0,1,3,1300
21,3.0,1,2.0,0.0,1.0,1.0,0.0,0.0,69,1.0,1804,2.0,1,6,3,7,2.0,3,3,1024
22,2.0,0,3.0,3.0,1.0,0.0,0.0,1.0,110,0.0,85,0.0,3,14,4,3,1.0,0,5,706
23,3.0,0,1.0,2.0,3.0,2.0,5.0,2.0,165,2.0,472,0.0,4,17,24,20,0.0,2,1,2582
24,2.0,0,0.0,2.0,3.0,2.0,5.0,1.0,62,3.0,5737,1.0,1,5,20,20,0.0,2,2,4284
25,3.0,1,2.0,0.0,0.0,0.0,0.0,1.0,94,1.0,88,1.0,6,17,0,3,1.0,1,5,807
26,0.0,1,0.0,2.0,0.0,1.0,0.0,2.0,259,2.0,558,2.0,4,4,50,23,1.0,3,3,1991
27,3.0,0,1.0,0.0,0.0,1.0,0.0,1.0,67,1.0,752,2.0,3,14,37,14,1.0,3,1,1817
28,3.0,0,2.0,2.0,1.0,0.0,0.0,0.0,130,1.0,71,0.0,2,10,15,10,2.0,3,3,1490
29,0.0,1,3.0,0.0,0.0,1.0,0.0,0.0,258,2.0,1028,0.0,2,13,44,4,0.0,2,4,1561
30,3.0,1,0.0,1.0,1.0,1.0,0.0,1.0,189,2.0,1527,1.0,4,23,34,10,0.0,2,3,2202
31,0.0,1,1.0,2.0,3.0,0.0,0.0,1.0,262,2.0,88,2.0,5,24,8,15,1.0,4,3,2024
32,1.0,1,2.0,2.0,2.0,0.0,0.0,0.0,157,2.0,73,1.0,4,1,42,22,2.0,1,5,1659
33,1.0,1,2.0,2.0,1.0,2.0,3.0,2.0,280,3.0,8320,0.0,5,9,0,4,1.0,2,4,3911
34,1.0,0,1.0,3.0,3.0,0.0,0.0,1.0,121,0.0,72,1.0,6,11,4,10,0.0,2,4,1204
35,0.0,1,0.0,0.0,3.0,0.0,0.0,2.0,174,3.0,9,2.0,2,1,40,15,0.0,1,2,2431
36,3.0,0,1.0,2.0,0.0,0.0,0.0,1.0,173,2.0,60,1.0,2,16,14,20,1.0,2,0,1640
37,0.0,0,0.0,3.0,2.0,0.0,0.0,1.0,199,2.0,13,1.0,5,17,6,15,2.0,1,5,1648
38,0.0,0,3.0,0.0,1.0,0.0,0.0,0.0,94,1.0,32,0.0,6,15,5,17,1.0,2,3,1002
39,0.0,1,2.0,0.0,3.0,0.0,0.0,0.0,64,2.0,49,0.0,1,19,47,16,0.0,2,5,1771
40,2.0,1,3.0,3.0,0.0,1.0,0.0,0.0,100,3.0,1351,3.0,1,20,24,5,0.0,1,4,2028
41,1.0,1,1.0,1.0,3.0,1.0,0.0,2.0,240,3.0,1726,1.0,2,15,19,5,2.0,2,2,2540
42,0.0,1,3.0,2.0,0.0,1.0,0.0,1.0,245,0.0,1021,1.0,7,14,48,10,2.0,1,4,1386
43,1.0,1,2.0,2.0,3.0,0.0,0.0,1.0,270,1.0,62,0.0,5,22,21,11,1.0,3,5,1679
44,2.0,0,3.0,2.0,1.0,2.0,1.0,2.0,294,3.0,9488,0.0,5,16,20,18,0.0,3,0,3141
45,1.0,0,1.0,1.0,1.0,1.0,0.0,0.0,87,3.0,1037,2.0,4,0,11,24,2.0,2,5,2627
46,0.0,0,2.0,0.0,1.0,2.0,1.0,0.0,209,0.0,9555,2.0,2,13,43,3,0.0,1,4,1188
47,0.0,0,2.0,3.0,0.0,2.0,5.0,0.0,124,0.0,9031,3.0,5,1,11,5,0.0,2,3,3174
48,2.0,1,1.0,1.0,2.0,1.0,0.0,1.0,276,2.0,1461,2.0,7,19,5,12,1.0,3,5,2327
49,2.0,1,0.0,2.0,1.0,0.0,0.0,0.0,90,3.0,39,1.0,3,22,7,9,0.0,1,3,1822
50,3.0,1,0.0,0.0,2.0,2.0,5.0,1.0,136,0.0,5033,1.0,6,0,43,24,2.0,1,2,2665
51,0.0,0,0.0,2.0,0.0,1.0,0.0,1.0,246,2.0,1065,3.0,4,22,43,7,0.0,2,5,2129
52,1.0,0,2.0,0.0,1.0,1.0,0.0,2.0,94,1.0,927,1.0,5,18,10,21,0.0,2,1,1425
53,2.0,0,1.0,1.0,0.0,2.0,2.0,0.0,253,2.0,2277,2.0,1,0,11,20,1.0,1,1,1690
54,3.0,1,3.0,1.0,2.0,0.0,0.0,0.0,200,1.0,97,1.0,7,13,18,0,1.0,3,2,1717
55,1.0,0,0.0,0.0,3.0,2.0,3.0,1.0,281,2.0,7272,2.0,2,4,38,5,2.0,2,3,4060
56,3.0,1,1.0,0.0,0.0,2.0,4.0,1.0,82,1.0,5260,3.0,3,14,18,17,2.0,2,4,3262
57,2.0,1,2.0,1.0,3.0,1.0,0.0,2.0,73,1.0,1750,3.0,1,9,30,12,0.0,2,5,1674
58,3.0,0,1.0,2.0,2.0,2.0,2.0,2.0,246,2.0,2998,0.0,4,0,36,3,1.0,3,3,3135
59,0.0,0,2.0,0.0,2.0,2.0,3.0,1.0,98,1.0,9147,3.0,5,1,49,20,0.0,2,4,4465
60,2.0,0,2.0,3.0,0.0,1.0,0.0,0.0,256,1.0,1947,3.0,3,23,33,8,1.0,4,1,1984
61,2.0,1,1.0,0.0,0.0,2.0,3.0,2.0,287,3.0,4885,2.0,1,21,21,3,0.0,2,4,3246
62,3.0,1,3.0,2.0,0.0,0.0,0.0,0.0,63,2.0,20,2.0,4,1,6,14,2.0,0,5,1351
